datetime,event
2023-01-01 10:42:07,entrada
2023-01-01 10:20:38,entrada
2023-01-01 10:57:18,entrada
2023-01-01 10:22:10,entrada
2023-01-01 10:10:23,entrada
2023-01-01 10:52:35,entrada
2023-01-01 10:39:23,entrada
2023-01-01 10:02:21,entrada
2023-01-01 10:52:01,entrada
2023-01-01 10:23:43,entrada
2023-01-01 10:29:37,entrada
2023-01-01 10:01:59,entrada
2023-01-01 10:20:32,entrada
2023-01-01 10:11:57,entrada
2023-01-01 10:21:43,entrada
2023-01-01 10:24:48,entrada
2023-01-01 10:26:58,entrada
2023-01-01 10:41:27,entrada
2023-01-01 10:59:15,entrada
2023-01-01 10:14:46,entrada
2023-01-01 10:50:43,entrada
2023-01-01 10:54:51,entrada
2023-01-01 10:56:02,entrada
2023-01-01 11:59:44,entrada
2023-01-01 11:40:28,entrada
2023-01-01 11:14:44,entrada
2023-01-01 11:00:24,entrada
2023-01-01 11:06:08,entrada
2023-01-01 11:23:00,entrada
2023-01-01 11:43:07,entrada
2023-01-01 11:23:10,entrada
2023-01-01 11:50:16,entrada
2023-01-01 11:07:34,entrada
2023-01-01 11:34:32,entrada
2023-01-01 11:58:04,entrada
2023-01-01 11:41:38,entrada
2023-01-01 11:57:40,entrada
2023-01-01 11:27:06,entrada
2023-01-01 11:08:07,entrada
2023-01-01 11:11:33,entrada
2023-01-01 11:32:47,entrada
2023-01-01 11:54:22,entrada
2023-01-01 11:23:36,entrada
2023-01-01 11:34:43,entrada
2023-01-01 11:39:21,entrada
2023-01-01 11:26:34,entrada
2023-01-01 12:57:54,entrada
2023-01-01 12:27:24,entrada
2023-01-01 12:38:32,entrada
2023-01-01 12:00:56,entrada
2023-01-01 12:26:56,entrada
2023-01-01 12:51:12,entrada
2023-01-01 12:40:02,entrada
2023-01-01 12:38:05,entrada
2023-01-01 12:07:26,entrada
2023-01-01 12:08:36,entrada
2023-01-01 12:32:50,entrada
2023-01-01 12:41:43,entrada
2023-01-01 12:23:14,entrada
2023-01-01 12:58:53,entrada
2023-01-01 12:31:31,entrada
2023-01-01 12:23:40,entrada
2023-01-01 12:51:48,entrada
2023-01-01 12:48:57,entrada
2023-01-01 12:51:11,entrada
2023-01-01 12:38:01,entrada
2023-01-01 12:02:48,entrada
2023-01-01 12:36:48,entrada
2023-01-01 12:55:16,entrada
2023-01-01 12:58:48,entrada
2023-01-01 12:01:01,entrada
2023-01-01 12:27:53,entrada
2023-01-01 12:22:36,entrada
2023-01-01 12:31:32,entrada
2023-01-01 12:00:18,entrada
2023-01-01 12:01:52,entrada
2023-01-01 12:43:25,entrada
2023-01-01 12:31:05,entrada
2023-01-01 13:15:02,entrada
2023-01-01 13:19:23,entrada
2023-01-01 13:53:55,entrada
2023-01-01 13:32:23,entrada
2023-01-01 13:51:10,entrada
2023-01-01 13:48:07,entrada
2023-01-01 13:35:37,entrada
2023-01-01 13:39:19,entrada
2023-01-01 13:34:47,entrada
2023-01-01 13:24:34,entrada
2023-01-01 13:24:28,entrada
2023-01-01 13:17:45,entrada
2023-01-01 13:17:01,entrada
2023-01-01 13:53:34,entrada
2023-01-01 13:15:40,entrada
2023-01-01 13:35:32,entrada
2023-01-01 13:03:32,entrada
2023-01-01 13:13:20,entrada
2023-01-01 13:47:19,entrada
2023-01-01 13:55:07,entrada
2023-01-01 13:06:02,entrada
2023-01-01 14:17:24,entrada
2023-01-01 14:41:30,entrada
2023-01-01 14:53:57,entrada
2023-01-01 14:02:39,entrada
2023-01-01 14:45:23,entrada
2023-01-01 14:49:31,entrada
2023-01-01 14:46:21,entrada
2023-01-01 14:22:01,entrada
2023-01-01 14:26:41,entrada
2023-01-01 14:01:25,entrada
2023-01-01 14:16:39,entrada
2023-01-01 14:32:08,entrada
2023-01-01 14:42:53,entrada
2023-01-01 14:47:38,entrada
2023-01-01 14:28:41,entrada
2023-01-01 14:54:25,entrada
2023-01-01 14:34:49,entrada
2023-01-01 14:24:23,entrada
2023-01-01 14:12:59,entrada
2023-01-01 14:57:06,entrada
2023-01-01 14:56:35,entrada
2023-01-01 14:44:19,entrada
2023-01-01 14:00:07,entrada
2023-01-01 14:45:15,entrada
2023-01-01 14:13:11,entrada
2023-01-01 14:50:22,entrada
2023-01-01 14:14:27,entrada
2023-01-01 14:33:01,entrada
2023-01-01 14:31:22,entrada
2023-01-01 14:21:50,entrada
2023-01-01 14:24:57,entrada
2023-01-01 15:25:15,entrada
2023-01-01 15:50:36,entrada
2023-01-01 15:21:56,entrada
2023-01-01 15:28:13,entrada
2023-01-01 15:27:04,entrada
2023-01-01 15:46:48,entrada
2023-01-01 15:29:45,entrada
2023-01-01 15:51:04,entrada
2023-01-01 15:11:15,entrada
2023-01-01 15:25:25,entrada
2023-01-01 15:47:20,entrada
2023-01-01 15:38:35,entrada
2023-01-01 15:32:29,entrada
2023-01-01 15:36:22,entrada
2023-01-01 15:57:09,entrada
2023-01-01 15:53:04,entrada
2023-01-01 15:35:33,entrada
2023-01-01 15:51:30,entrada
2023-01-01 15:09:57,entrada
2023-01-01 15:18:57,entrada
2023-01-01 15:31:00,entrada
2023-01-01 15:55:04,entrada
2023-01-01 15:44:03,entrada
2023-01-01 15:15:23,entrada
2023-01-01 15:15:54,entrada
2023-01-01 15:01:48,entrada
2023-01-01 15:27:31,entrada
2023-01-01 15:26:19,entrada
2023-01-01 15:23:11,entrada
2023-01-01 16:22:24,entrada
2023-01-01 16:34:40,entrada
2023-01-01 16:29:16,entrada
2023-01-01 16:48:19,entrada
2023-01-01 16:47:24,entrada
2023-01-01 16:21:12,entrada
2023-01-01 16:58:18,entrada
2023-01-01 16:48:35,entrada
2023-01-01 16:11:40,entrada
2023-01-01 16:18:11,entrada
2023-01-01 16:08:06,entrada
2023-01-01 16:27:13,entrada
2023-01-01 16:30:51,entrada
2023-01-01 16:18:57,entrada
2023-01-01 16:46:15,entrada
2023-01-01 16:52:04,entrada
2023-01-01 16:34:11,entrada
2023-01-01 16:24:51,entrada
2023-01-01 16:58:20,entrada
2023-01-01 16:35:52,entrada
2023-01-01 16:22:15,entrada
2023-01-01 17:18:38,entrada
2023-01-01 17:02:44,entrada
2023-01-01 17:12:49,entrada
2023-01-01 17:27:57,entrada
2023-01-01 17:19:27,entrada
2023-01-01 17:07:40,entrada
2023-01-01 17:38:00,entrada
2023-01-01 17:02:12,entrada
2023-01-01 17:27:56,entrada
2023-01-01 17:59:48,entrada
2023-01-01 17:24:55,entrada
2023-01-01 17:32:37,entrada
2023-01-01 17:52:05,entrada
2023-01-01 17:57:43,entrada
2023-01-01 17:44:31,entrada
2023-01-01 17:44:46,entrada
2023-01-01 17:20:15,entrada
2023-01-01 17:53:20,entrada
2023-01-01 17:10:59,entrada
2023-01-01 17:36:35,entrada
2023-01-01 17:34:18,entrada
2023-01-01 17:19:56,entrada
2023-01-01 17:17:46,entrada
2023-01-01 17:40:48,entrada
2023-01-01 17:13:14,entrada
2023-01-01 17:30:00,entrada
2023-01-01 17:52:53,entrada
2023-01-01 17:53:02,entrada
2023-01-01 18:32:33,entrada
2023-01-01 18:40:34,entrada
2023-01-01 18:00:20,entrada
2023-01-01 18:47:54,entrada
2023-01-01 18:05:27,entrada
2023-01-01 18:16:04,entrada
2023-01-01 18:30:04,entrada
2023-01-01 18:37:02,entrada
2023-01-01 18:52:22,entrada
2023-01-01 18:36:52,entrada
2023-01-01 18:36:09,entrada
2023-01-01 18:09:18,entrada
2023-01-01 18:16:20,entrada
2023-01-01 18:13:08,entrada
2023-01-01 18:45:00,entrada
2023-01-01 18:50:44,entrada
2023-01-01 18:12:03,entrada
2023-01-01 18:00:48,entrada
2023-01-01 18:39:31,entrada
2023-01-01 18:33:27,entrada
2023-01-01 18:30:07,entrada
2023-01-01 18:38:25,entrada
2023-01-01 18:57:33,entrada
2023-01-01 18:53:53,entrada
2023-01-01 18:02:58,entrada
2023-01-01 18:49:11,entrada
2023-01-01 18:00:53,entrada
2023-01-01 18:43:04,entrada
2023-01-01 18:29:29,entrada
2023-01-01 18:58:56,entrada
2023-01-01 19:26:28,entrada
2023-01-01 19:31:49,entrada
2023-01-01 19:57:50,entrada
2023-01-01 19:18:20,entrada
2023-01-01 19:04:17,entrada
2023-01-01 19:27:41,entrada
2023-01-01 19:21:20,entrada
2023-01-01 19:05:00,entrada
2023-01-01 19:04:40,entrada
2023-01-01 19:11:25,entrada
2023-01-01 19:45:33,entrada
2023-01-01 19:48:13,entrada
2023-01-01 19:25:44,entrada
2023-01-01 19:26:08,entrada
2023-01-01 19:25:56,entrada
2023-01-01 19:46:56,entrada
2023-01-01 19:21:46,entrada
2023-01-01 19:55:29,entrada
2023-01-01 19:42:47,entrada
2023-01-01 19:16:25,entrada
2023-01-01 19:35:00,entrada
2023-01-01 19:07:48,entrada
2023-01-01 19:34:51,entrada
2023-01-01 19:14:46,entrada
2023-01-01 20:21:33,entrada
2023-01-01 20:46:07,entrada
2023-01-01 20:39:48,entrada
2023-01-01 20:43:18,entrada
2023-01-01 20:41:40,entrada
2023-01-01 20:36:05,entrada
2023-01-01 20:51:25,entrada
2023-01-01 20:33:58,entrada
2023-01-01 20:55:58,entrada
2023-01-01 20:44:05,entrada
2023-01-01 20:36:56,entrada
2023-01-01 20:32:52,entrada
2023-01-01 20:21:20,entrada
2023-01-01 20:05:05,entrada
2023-01-01 20:54:47,entrada
2023-01-01 20:03:29,entrada
2023-01-01 20:10:29,entrada
2023-01-01 20:30:23,entrada
2023-01-01 20:54:08,entrada
2023-01-01 20:54:02,entrada
2023-01-01 20:50:30,entrada
2023-01-01 20:39:36,entrada
