datetime,event
2023-01-01 10:06:20,salida
2023-01-01 10:08:38,salida
2023-01-01 10:17:03,salida
2023-01-01 10:24:59,salida
2023-01-01 10:13:49,salida
2023-01-01 10:57:08,salida
2023-01-01 10:25:52,salida
2023-01-01 10:01:19,salida
2023-01-01 10:27:46,salida
2023-01-01 10:59:06,salida
2023-01-01 10:43:07,salida
2023-01-01 10:46:34,salida
2023-01-01 10:13:16,salida
2023-01-01 10:35:49,salida
2023-01-01 10:39:03,salida
2023-01-01 10:01:05,salida
2023-01-01 10:53:41,salida
2023-01-01 10:03:53,salida
2023-01-01 10:28:17,salida
2023-01-01 10:25:43,salida
2023-01-01 10:33:09,salida
2023-01-01 10:35:13,salida
2023-01-01 11:36:46,salida
2023-01-01 11:13:02,salida
2023-01-01 11:00:04,salida
2023-01-01 11:25:54,salida
2023-01-01 11:13:38,salida
2023-01-01 11:26:08,salida
2023-01-01 11:14:14,salida
2023-01-01 11:25:41,salida
2023-01-01 11:59:12,salida
2023-01-01 11:50:31,salida
2023-01-01 11:38:48,salida
2023-01-01 11:51:31,salida
2023-01-01 11:03:29,salida
2023-01-01 11:36:22,salida
2023-01-01 11:38:44,salida
2023-01-01 11:14:42,salida
2023-01-01 11:28:35,salida
2023-01-01 11:12:31,salida
2023-01-01 11:06:58,salida
2023-01-01 11:50:21,salida
2023-01-01 12:03:54,salida
2023-01-01 12:10:55,salida
2023-01-01 12:58:16,salida
2023-01-01 12:37:23,salida
2023-01-01 12:04:51,salida
2023-01-01 12:33:05,salida
2023-01-01 12:21:10,salida
2023-01-01 12:47:15,salida
2023-01-01 12:32:08,salida
2023-01-01 12:59:58,salida
2023-01-01 12:05:15,salida
2023-01-01 12:28:02,salida
2023-01-01 12:19:59,salida
2023-01-01 12:58:35,salida
2023-01-01 12:18:25,salida
2023-01-01 12:02:18,salida
2023-01-01 12:19:31,salida
2023-01-01 12:06:51,salida
2023-01-01 12:40:32,salida
2023-01-01 12:39:38,salida
2023-01-01 12:17:39,salida
2023-01-01 12:00:10,salida
2023-01-01 12:27:56,salida
2023-01-01 12:24:49,salida
2023-01-01 12:22:30,salida
2023-01-01 12:29:41,salida
